bus_num,H
10000,5.016
10001,5.016
10002,5.016
10003,5.016
10004,5.016
10005,2.6419
10006,4.1296
10007,3.704
10008,4.768
10009,4.1296
10010,2.4862
10011,3.704
10012,5.016
10013,2.4862
10014,3.704
10015,2.4862
10016,4.768
10017,3.704
10018,2
10019,2.6419
10020,3.704
10021,5.016
10022,3.704
10023,5.016
10024,3.704
10025,4.1296
10026,3.704
10027,2.4862
10028,2.4862
10029,2.6419
10030,2.4862
10031,2.6419
10032,2.6312
10033,4.1296
10034,2.6419
10035,3.704
10036,2.6312
10037,2.6419
10038,2.6312
10039,2.4862
10040,3.704
10041,2.4862
10042,2.4862
10043,3.704
10044,4.1296
10045,2.6419
10046,2.4862
10047,2.4862
10048,3.704
10049,2.6419
10050,2.6419
10051,3.704
10052,2.6419
10053,2.6419
10054,4.768
10055,2.6419
10056,4.768
10057,3.704
10058,2.6419
10059,2.6419
10060,4.1296
10061,2.4862
10062,2.4862
10063,2.4862
10064,5.016
10065,4.768
10066,4.768
10067,4.768
10068,5.016
